°C	डिग्री सेल्सियस	डिग्री सेल्सियस
°F	डिग्री फ़ारेनहाइट	डिग्री फ़ारेनहाइट
°	डिग्री	डिग्री
K	केल्विन	केल्विन
g	ग्राम	ग्राम
kg	किलोग्राम	किलोग्राम
mg	मिलीग्राम	मिलीग्राम
cg	सेंटीग्राम	सेंटीग्राम
lb	पाउंड	पाउंड
oz	औंस	औंस
t	टन	टन
q	क्विंटल	क्विंटल
m	मीटर	मीटर
cm	सेंटीमीटर	सेंटीमीटर
mm	मिलीमीटर	मिलीमीटर
km	किलोमीटर	किलोमीटर
nm	नैनोमीटर	नैनोमीटर
µm	माइक्रोमीटर	माइक्रोमीटर
mi	मील	मील
ft	फ़ुट	फ़ुट
in	इंच	इंच
yd	गज	गज
m²	वर्ग मीटर	वर्ग मीटर
cm²	वर्ग सेंटीमीटर	वर्ग सेंटीमीटर
mm²	वर्ग मिलीमीटर	वर्ग मिलीमीटर
km²	वर्ग किलोमीटर	वर्ग किलोमीटर
ft²	वर्ग फ़ुट	वर्ग फ़ुट
yd²	वर्ग गज	वर्ग गज
mi²	वर्ग मील	वर्ग मील
in²	वर्ग इंच	वर्ग इंच
m2	वर्ग मीटर	वर्ग मीटर
cm2	वर्ग सेंटीमीटर	वर्ग सेंटीमीटर
km2	वर्ग किलोमीटर	वर्ग किलोमीटर
ft2	वर्ग फ़ुट	वर्ग फ़ुट
sqft	वर्ग फ़ुट	वर्ग फ़ुट
ha	हेक्टेयर	हेक्टेयर
ac	एकड़	एकड़
m³	घन मीटर	घन मीटर
cm³	घन सेंटीमीटर	घन सेंटीमीटर
ft³	घन फ़ुट	घन फ़ुट
l	लीटर	लीटर
L	लीटर	लीटर
kl	किलोलीटर	किलोलीटर
ml	मिलीलीटर	मिलीलीटर
mL	मिलीलीटर	मिलीलीटर
dl	डेसीलीटर	डेसीलीटर
cl	सेंटीलीटर	सेंटीलीटर
gal	गैलन	गैलन
W	वाट	वाट
kW	किलोवाट	किलोवाट
KW	किलोवाट	किलोवाट
MW	मेगावाट	मेगावाट
kWh	किलोवाट घंटा	किलोवाट घंटा
V	वोल्ट	वोल्ट
A	एम्पियर	एम्पियर
J	जूल	जूल
kJ	किलोजूल	किलोजूल
Pa	पास्कल	पास्कल
N	न्यूटन	न्यूटन
Hz	हर्ट्ज़	हर्ट्ज़
kHz	किलोहर्ट्ज़	किलोहर्ट्ज़
KHz	किलोहर्ट्ज़	किलोहर्ट्ज़
MHz	मेगाहर्ट्ज़	मेगाहर्ट्ज़
GHz	गीगाहर्ट्ज़	गीगाहर्ट्ज़
Ω	ओम	ओम
dB	डेसिबल	डेसिबल
b	बिट	बिट
Mb	मेगाबिट	मेगाबिट
B	बाइट	बाइट
KB	किलोबाइट	किलोबाइट
MB	मेगाबाइट	मेगाबाइट
GB	गीगाबाइट	गीगाबाइट
TB	टेराबाइट	टेराबाइट
PB	पेटाबाइट	पेटाबाइट
s	सेकंड	सेकंड
sec	सेकंड	सेकंड
ms	मिलीसेकंड	मिलीसेकंड
min	मिनट	मिनट
h	घंटा	घंटे
hr	घंटा	घंटे
hrs	घंटा	घंटे
d	दिन	दिन
yr	वर्ष	वर्ष
yrs	वर्ष	वर्ष
month	महीना	महीने
months	महीना	महीने
doz	दर्जन	दर्जन
ct	कैरेट	कैरेट
pH	पीएच	पीएच
km/h	किलोमीटर प्रति घंटा	किलोमीटर प्रति घंटा
km/hr	किलोमीटर प्रति घंटा	किलोमीटर प्रति घंटा
kmph	किलोमीटर प्रति घंटा	किलोमीटर प्रति घंटा
m/s	मीटर प्रति सेकंड	मीटर प्रति सेकंड
mi/h	मील प्रति घंटा	मील प्रति घंटा
mph	मील प्रति घंटा	मील प्रति घंटा
x	गुना	गुना
X	गुना	गुना
*	गुना	गुना
%	प्रतिशत	प्रतिशत
कि.मी.	किलोमीटर	किलोमीटर
कि.मी	किलोमीटर	किलोमीटर
किमी	किलोमीटर	किलोमीटर
मी.	मीटर	मीटर
मी	मीटर	मीटर
से.मी.	सेंटीमीटर	सेंटीमीटर
सेमी	सेंटीमीटर	सेंटीमीटर
मि.मी.	मिलीमीटर	मिलीमीटर
मिमी	मिलीमीटर	मिलीमीटर
कि.ग्रा.	किलोग्राम	किलोग्राम
किग्रा	किलोग्राम	किलोग्राम
ग्रा.	ग्राम	ग्राम
ली.	लीटर	लीटर
मि.ली.	मिलीलीटर	मिलीलीटर
मिली	मिलीलीटर	मिलीलीटर
किमी/घंटा	किलोमीटर प्रति घंटा	किलोमीटर प्रति घंटा
वर्ग फ़ुट	वर्ग फ़ुट	वर्ग फ़ुट
से.	सेकंड	सेकंड
मि.	मिनट	मिनट
घं.	घंटा	घंटे
