दिन	day
दिनों	days
बार	time (occurrence)
घंटा	hour
घंटे	hours
मिनट	minute
सेकंड	second
महीना	month
महीने	months
हफ़्ता	week
हफ़्ते	weeks
सप्ताह	week
साल	year
वर्ष	year
किलो	kilo (prose word; the unit table keeps only abbreviations)
लीटर	litre (prose word)
कप	cup
चम्मच	spoon
गिलास	glass
पेज	page
पन्ना	page
दर्जन	dozen
अंक	marks
वोट	votes
सीट	seats
सीटें	seats
मामले	cases
मैच	match
रन	runs
विकेट	wickets
रुपया	rupee (prose word without a symbol)
रुपये	rupees (prose word without a symbol)
प्रतिशत	percent (prose word)
फ़ीसदी	percent (prose word)
लोग	people
व्यक्ति	persons
