°C	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್	ಡಿಗ್ರಿ ಸೆಲ್ಸಿಯಸ್
°F	ಡಿಗ್ರಿ ಫ್ಯಾರನ್ಹೀಟ್	ಡಿಗ್ರಿ ಫ್ಯಾರನ್ಹೀಟ್
°	ಡಿಗ್ರಿ	ಡಿಗ್ರಿ
K	ಕೆಲ್ವಿನ್	ಕೆಲ್ವಿನ್
g	ಗ್ರಾಂ	ಗ್ರಾಂ
kg	ಕಿಲೋಗ್ರಾಂ	ಕಿಲೋಗ್ರಾಂ
mg	ಮಿಲಿಗ್ರಾಂ	ಮಿಲಿಗ್ರಾಂ
cg	ಸೆಂಟಿಗ್ರಾಂ	ಸೆಂಟಿಗ್ರಾಂ
lb	ಪೌಂಡ್	ಪೌಂಡ್
oz	ಔನ್ಸ್	ಔನ್ಸ್
t	ಟನ್	ಟನ್
q	ಕ್ವಿಂಟಾಲ್	ಕ್ವಿಂಟಾಲ್
m	ಮೀಟರ್	ಮೀಟರ್
cm	ಸೆಂಟಿಮೀಟರ್	ಸೆಂಟಿಮೀಟರ್
mm	ಮಿಲಿಮೀಟರ್	ಮಿಲಿಮೀಟರ್
km	ಕಿಲೋಮೀಟರ್	ಕಿಲೋಮೀಟರ್
nm	ನ್ಯಾನೋಮೀಟರ್	ನ್ಯಾನೋಮೀಟರ್
µm	ಮೈಕ್ರೋಮೀಟರ್	ಮೈಕ್ರೋಮೀಟರ್
mi	ಮೈಲಿ	ಮೈಲಿ
ft	ಅಡಿ	ಅಡಿ
in	ಇಂಚು	ಇಂಚು
yd	ಗಜ	ಗಜ
m²	ಚದರ ಮೀಟರ್	ಚದರ ಮೀಟರ್
cm²	ಚದರ ಸೆಂಟಿಮೀಟರ್	ಚದರ ಸೆಂಟಿಮೀಟರ್
mm²	ಚದರ ಮಿಲಿಮೀಟರ್	ಚದರ ಮಿಲಿಮೀಟರ್
km²	ಚದರ ಕಿಲೋಮೀಟರ್	ಚದರ ಕಿಲೋಮೀಟರ್
ft²	ಚದರ ಅಡಿ	ಚದರ ಅಡಿ
yd²	ಚದರ ಗಜ	ಚದರ ಗಜ
mi²	ಚದರ ಮೈಲಿ	ಚದರ ಮೈಲಿ
in²	ಚದರ ಇಂಚು	ಚದರ ಇಂಚು
m2	ಚದರ ಮೀಟರ್	ಚದರ ಮೀಟರ್
cm2	ಚದರ ಸೆಂಟಿಮೀಟರ್	ಚದರ ಸೆಂಟಿಮೀಟರ್
km2	ಚದರ ಕಿಲೋಮೀಟರ್	ಚದರ ಕಿಲೋಮೀಟರ್
ft2	ಚದರ ಅಡಿ	ಚದರ ಅಡಿ
sqft	ಚದರ ಅಡಿ	ಚದರ ಅಡಿ
ha	ಹೆಕ್ಟೇರ್	ಹೆಕ್ಟೇರ್
ac	ಎಕರೆ	ಎಕರೆ
m³	ಘನ ಮೀಟರ್	ಘನ ಮೀಟರ್
cm³	ಘನ ಸೆಂಟಿಮೀಟರ್	ಘನ ಸೆಂಟಿಮೀಟರ್
ft³	ಘನ ಅಡಿ	ಘನ ಅಡಿ
l	ಲೀಟರ್	ಲೀಟರ್
L	ಲೀಟರ್	ಲೀಟರ್
kl	ಕಿಲೋಲೀಟರ್	ಕಿಲೋಲೀಟರ್
ml	ಮಿಲಿಲೀಟರ್	ಮಿಲಿಲೀಟರ್
mL	ಮಿಲಿಲೀಟರ್	ಮಿಲಿಲೀಟರ್
dl	ಡೆಸಿಲೀಟರ್	ಡೆಸಿಲೀಟರ್
cl	ಸೆಂಟಿಲೀಟರ್	ಸೆಂಟಿಲೀಟರ್
gal	ಗ್ಯಾಲನ್	ಗ್ಯಾಲನ್
W	ವ್ಯಾಟ್	ವ್ಯಾಟ್
kW	ಕಿಲೋವ್ಯಾಟ್	ಕಿಲೋವ್ಯಾಟ್
KW	ಕಿಲೋವ್ಯಾಟ್	ಕಿಲೋವ್ಯಾಟ್
MW	ಮೆಗಾವ್ಯಾಟ್	ಮೆಗಾವ್ಯಾಟ್
kWh	ಕಿಲೋವ್ಯಾಟ್ ಗಂಟೆ	ಕಿಲೋವ್ಯಾಟ್ ಗಂಟೆ
V	ವೋಲ್ಟ್	ವೋಲ್ಟ್
A	ಆಂಪಿಯರ್	ಆಂಪಿಯರ್
J	ಜೂಲ್	ಜೂಲ್
kJ	ಕಿಲೋಜೂಲ್	ಕಿಲೋಜೂಲ್
Pa	ಪಾಸ್ಕಲ್	ಪಾಸ್ಕಲ್
N	ನ್ಯೂಟನ್	ನ್ಯೂಟನ್
Hz	ಹರ್ಟ್ಜ್	ಹರ್ಟ್ಜ್
kHz	ಕಿಲೋಹರ್ಟ್ಜ್	ಕಿಲೋಹರ್ಟ್ಜ್
KHz	ಕಿಲೋಹರ್ಟ್ಜ್	ಕಿಲೋಹರ್ಟ್ಜ್
MHz	ಮೆಗಾಹರ್ಟ್ಜ್	ಮೆಗಾಹರ್ಟ್ಜ್
GHz	ಗಿಗಾಹರ್ಟ್ಜ್	ಗಿಗಾಹರ್ಟ್ಜ್
Ω	ಓಮ್	ಓಮ್
dB	ಡೆಸಿಬೆಲ್	ಡೆಸಿಬೆಲ್
b	ಬಿಟ್	ಬಿಟ್
