ಜನ	people
ಮಂದಿ	people (counted persons)
ದಿನ	day
ದಿನಗಳು	days
ಬಾರಿ	time (occurrence)
ಸಲ	time (occurrence)
ಗಂಟೆ	hour
ನಿಮಿಷ	minute
ಸೆಕೆಂಡ್	second
ತಿಂಗಳು	month
ವಾರ	week
ವರ್ಷ	year
ವರ್ಷಗಳು	years
ಕಿಲೋ	kilo (prose word; the unit table keeps only abbreviations)
ಲೀಟರ್	litre (prose word)
ಕಪ್	cup
ಚಮಚ	spoon
ಲೋಟ	glass
ಪುಟ	page
ತುಂಡು	piece
ಜೋಡಿ	pair
ಡಜನ್	dozen
ಅಂಕ	marks
ಮತ	votes
ಸ್ಥಾನ	seats or places
ಸೀಟು	seats
ಪ್ರಕರಣ	cases
ಪಂದ್ಯ	match
ರನ್	runs
ವಿಕೆಟ್	wickets
ರೂಪಾಯಿ	rupee (prose word without a symbol)
ಪ್ರತಿಶತ	percent (prose word)
