ಒಂದೂವರೆ	1	5
ಎರಡೂವರೆ	2	5
ಮೂರೂವರೆ	3	5
ನಾಲ್ಕೂವರೆ	4	5
ಐದೂವರೆ	5	5
ಆರೂವರೆ	6	5
ಏಳೂವರೆ	7	5
ಎಂಟೂವರೆ	8	5
ಒಂಬತ್ತೂವರೆ	9	5
ಹತ್ತೂವರೆ	10	5
ಹನ್ನೊಂದೂವರೆ	11	5
ಹನ್ನೆರಡೂವರೆ	12	5
ಒಂದೂಕಾಲು	1	25
ಎರಡೂಕಾಲು	2	25
ಮೂರೂಕಾಲು	3	25
ನಾಲ್ಕೂಕಾಲು	4	25
ಐದೂಕಾಲು	5	25
ಆರೂಕಾಲು	6	25
ಏಳೂಕಾಲು	7	25
ಎಂಟೂಕಾಲು	8	25
ಒಂಬತ್ತೂಕಾಲು	9	25
ಹತ್ತೂಕಾಲು	10	25
ಹನ್ನೊಂದೂಕಾಲು	11	25
ಹನ್ನೆರಡೂಕಾಲು	12	25
ಒಂದೂಮುಕ್ಕಾಲು	1	75
ಎರಡೂಮುಕ್ಕಾಲು	2	75
ಮೂರೂಮುಕ್ಕಾಲು	3	75
ನಾಲ್ಕೂಮುಕ್ಕಾಲು	4	75
ಐದೂಮುಕ್ಕಾಲು	5	75
ಆರೂಮುಕ್ಕಾಲು	6	75
ಏಳೂಮುಕ್ಕಾಲು	7	75
ಎಂಟೂಮುಕ್ಕಾಲು	8	75
ಒಂಬತ್ತೂಮುಕ್ಕಾಲು	9	75
ಹತ್ತೂಮುಕ್ಕಾಲು	10	75
ಹನ್ನೊಂದೂಮುಕ್ಕಾಲು	11	75
ಹನ್ನೆರಡೂಮುಕ್ಕಾಲು	12	75
