&	ಮತ್ತು
#	ಹ್ಯಾಶ್
@	ಅಟ್
§	ವಿಭಾಗ
™	ಟ್ರೇಡ್ ಮಾರ್ಕ್
®	ನೋಂದಾಯಿತ ಟ್ರೇಡ್ ಮಾರ್ಕ್
©	ಕೃತಿಸ್ವಾಮ್ಯ
_	ಅಂಡರ್ಸ್ಕೋರ್
%	ಪ್ರತಿಶತ
*	ನಕ್ಷತ್ರ
+	ಪ್ಲಸ್
/	ಸ್ಲ್ಯಾಶ್
=	ಸಮ
^	ಕ್ಯಾರೆಟ್
|	ವರ್ಟಿಕಲ್ ಬಾರ್
~	ಟಿಲ್ಡ್
$	ಡಾಲರ್
£	ಪೌಂಡ್
€	ಯೂರೋ
₹	ರೂಪಾಯಿ
₩	ವೊನ್
¥	ಯೆನ್
°	ಡಿಗ್ರಿ
º	ಡಿಗ್ರಿ
κ	ಕಪ್ಪಾ
ω	ಒಮೆಗಾ
α	ಆಲ್ಫಾ
ν	ನ್ಯೂ
δ	ಡೆಲ್ಟಾ
Δ	ಡೆಲ್ಟಾ
Α	ಆಲ್ಫಾ
β	ಬೀಟಾ
Β	ಬೀಟಾ
χ	ಕೈ
Χ	ಕೈ
ε	ಎಪ್ಸಿಲಾನ್
Ε	ಎಪ್ಸಿಲಾನ್
φ	ಫೈ
Φ	ಫೈ
γ	ಗಾಮಾ
Γ	ಗಾಮಾ
η	ಈಟಾ
Η	ಈಟಾ
ι	ಅಯೋಟಾ
Ι	ಅಯೋಟಾ
Κ	ಕಪ್ಪಾ
λ	ಲ್ಯಾಂಬ್ಡಾ
Λ	ಲ್ಯಾಂಬ್ಡಾ
μ	ಮ್ಯೂ
Μ	ಮ್ಯೂ
Ν	ನ್ಯೂ
ο	ಒಮಿಕ್ರಾನ್
Ο	ಒಮಿಕ್ರಾನ್
π	ಪೈ
Π	ಪೈ
θ	ಥೀಟಾ
Θ	ಥೀಟಾ
ρ	ರೋ
Ρ	ರೋ
σ	ಸಿಗ್ಮಾ
Σ	ಸಿಗ್ಮಾ
τ	ಟೌ
Τ	ಟೌ
υ	ಅಪ್ಸಿಲಾನ್
Υ	ಅಪ್ಸಿಲಾನ್
Ω	ಒಮೆಗಾ
ξ	ಕ್ಸೈ
Ξ	ಕ್ಸೈ
ψ	ಸೈ
Ψ	ಸೈ
ζ	ಜೀಟಾ
Ζ	ಜೀಟಾ
±	ಪ್ಲಸ್ ಮೈನಸ್
∓	ಮೈನಸ್ ಪ್ಲಸ್
√	ವರ್ಗಮೂಲ
∛	ಘನಮೂಲ
∜	ನಾಲ್ಕನೇ ಮೂಲ
∞	ಅನಂತ
≠	ಅಸಮ
≈	ಸುಮಾರು ಸಮ
≤	ಕಡಿಮೆ ಅಥವಾ ಸಮ
≥	ಹೆಚ್ಚು ಅಥವಾ ಸಮ
≡	ಸರ್ವಸಮ
≢	ಸರ್ವಸಮ ಅಲ್ಲ
≅	ಸುಮಾರು ಸಮ
∼	ಸದೃಶ
≃	ಸುಮಾರು ಸಮ
≪	ತುಂಬಾ ಕಡಿಮೆ
≫	ತುಂಬಾ ಹೆಚ್ಚು
∑	ಮೊತ್ತ
∏	ಗುಣಲಬ್ಧ
∫	ಅನುಕಲನ
∬	ದ್ವಿ ಅನುಕಲನ
∭	ತ್ರಿ ಅನುಕಲನ
∮	ರೇಖಾ ಅನುಕಲನ
∈	ಸದಸ್ಯ
∉	ಸದಸ್ಯ ಅಲ್ಲ
∋	ಒಳಗೊಂಡಿದೆ
∌	ಒಳಗೊಂಡಿಲ್ಲ
