°C	ഡിഗ്രി സെൽഷ്യസ്	ഡിഗ്രി സെൽഷ്യസ്
°F	ഡിഗ്രി ഫാരൻഹീറ്റ്	ഡിഗ്രി ഫാരൻഹീറ്റ്
°	ഡിഗ്രി	ഡിഗ്രി
K	കെൽവിൻ	കെൽവിൻ
g	ഗ്രാം	ഗ്രാം
kg	കിലോഗ്രാം	കിലോഗ്രാം
mg	മില്ലിഗ്രാം	മില്ലിഗ്രാം
cg	സെന്റിഗ്രാം	സെന്റിഗ്രാം
lb	പൗണ്ട്	പൗണ്ട്
oz	ഔൺസ്	ഔൺസ്
t	ടൺ	ടൺ
q	ക്വിന്റൽ	ക്വിന്റൽ
m	മീറ്റർ	മീറ്റർ
cm	സെന്റിമീറ്റർ	സെന്റിമീറ്റർ
mm	മില്ലിമീറ്റർ	മില്ലിമീറ്റർ
km	കിലോമീറ്റർ	കിലോമീറ്റർ
nm	നാനോമീറ്റർ	നാനോമീറ്റർ
µm	മൈക്രോമീറ്റർ	മൈക്രോമീറ്റർ
mi	മൈൽ	മൈൽ
ft	അടി	അടി
in	ഇഞ്ച്	ഇഞ്ച്
yd	യാർഡ്	യാർഡ്
m²	ചതുരശ്ര മീറ്റർ	ചതുരശ്ര മീറ്റർ
cm²	ചതുരശ്ര സെന്റിമീറ്റർ	ചതുരശ്ര സെന്റിമീറ്റർ
mm²	ചതുരശ്ര മില്ലിമീറ്റർ	ചതുരശ്ര മില്ലിമീറ്റർ
km²	ചതുരശ്ര കിലോമീറ്റർ	ചതുരശ്ര കിലോമീറ്റർ
ft²	ചതുരശ്ര അടി	ചതുരശ്ര അടി
yd²	ചതുരശ്ര യാർഡ്	ചതുരശ്ര യാർഡ്
mi²	ചതുരശ്ര മൈൽ	ചതുരശ്ര മൈൽ
in²	ചതുരശ്ര ഇഞ്ച്	ചതുരശ്ര ഇഞ്ച്
m2	ചതുരശ്ര മീറ്റർ	ചതുരശ്ര മീറ്റർ
cm2	ചതുരശ്ര സെന്റിമീറ്റർ	ചതുരശ്ര സെന്റിമീറ്റർ
km2	ചതുരശ്ര കിലോമീറ്റർ	ചതുരശ്ര കിലോമീറ്റർ
ft2	ചതുരശ്ര അടി	ചതുരശ്ര അടി
sqft	ചതുരശ്ര അടി	ചതുരശ്ര അടി
ha	ഹെക്ടർ	ഹെക്ടർ
ac	ഏക്കർ	ഏക്കർ
m³	ഘന മീറ്റർ	ഘന മീറ്റർ
cm³	ഘന സെന്റിമീറ്റർ	ഘന സെന്റിമീറ്റർ
ft³	ഘന അടി	ഘന അടി
l	ലിറ്റർ	ലിറ്റർ
