ദിവസം	day
ദിവസങ്ങൾ	days
തവണ	time (occurrence)
മണിക്കൂർ	hour
മിനിറ്റ്	minute
സെക്കൻഡ്	second
മാസം	month
മാസങ്ങൾ	months
ആഴ്ച	week
ആഴ്ചകൾ	weeks
വർഷം	year
വർഷങ്ങൾ	years
കൊല്ലം	year
വയസ്സ്	years of age
കിലോ	kilo (prose word; the unit table keeps only abbreviations)
ലിറ്റർ	litre (prose word)
കപ്പ്	cup
സ്പൂൺ	spoon
ഗ്ലാസ്	glass
പേജ്	page
പുസ്തകം	book
കഷണം	piece
ജോഡി	pair
ഡസൻ	dozen
മാർക്ക്	marks
വോട്ട്	votes
സീറ്റ്	seats
കേസ്	cases
മത്സരം	match
റൺസ്	runs
വിക്കറ്റ്	wickets
രൂപ	rupee (prose word without a symbol)
ശതമാനം	percent (prose word)
പേർ	persons (1 പേർ reads as ഒരാൾ)
