ഒന്നര	1	5
രണ്ടര	2	5
മൂന്നര	3	5
നാലര	4	5
അഞ്ചര	5	5
ആറര	6	5
ഏഴര	7	5
എട്ടര	8	5
ഒൻപതര	9	5
ഒമ്പതര	9	5
പത്തര	10	5
പതിനൊന്നര	11	5
പന്ത്രണ്ടര	12	5
ഒന്നേകാൽ	1	25
ഒന്നേമുക്കാൽ	1	75
രണ്ടേകാൽ	2	25
രണ്ടേമുക്കാൽ	2	75
മൂന്നേകാൽ	3	25
മൂന്നേമുക്കാൽ	3	75
നാലേകാൽ	4	25
നാലേമുക്കാൽ	4	75
അഞ്ചേകാൽ	5	25
അഞ്ചേമുക്കാൽ	5	75
ആറേകാൽ	6	25
ആറേമുക്കാൽ	6	75
ഏഴേകാൽ	7	25
ഏഴേമുക്കാൽ	7	75
എട്ടേകാൽ	8	25
എട്ടേമുക്കാൽ	8	75
ഒൻപതേകാൽ	9	25
ഒൻപതേമുക്കാൽ	9	75
പത്തേകാൽ	10	25
പത്തേമുക്കാൽ	10	75
പതിനൊന്നേകാൽ	11	25
പതിനൊന്നേമുക്കാൽ	11	75
പന്ത്രണ്ടേകാൽ	12	25
പന്ത്രണ്ടേമുക്കാൽ	12	75
