ഒന്ന് നോക്കൂ	adverbial ഒന്ന് ("just look"), not the numeral one
ഒന്ന് നോക്കാം	adverbial ഒന്ന്, not the numeral one
ഒന്ന് പറയൂ	adverbial ഒന്ന്, not the numeral one
ഒന്ന് വരൂ	adverbial ഒന്ന്, not the numeral one
ഒന്നോ രണ്ടോ	disjunctive -ഓ particle, an approximation idiom
രണ്ടോ മൂന്നോ	disjunctive -ഓ particle, an approximation idiom
മൂന്നോ നാലോ	disjunctive -ഓ particle, an approximation idiom
ഒന്ന് രണ്ട് തവണ	"once or twice"; the pair is an approximation idiom
രണ്ട് മൂന്ന് തവണ	"two or three times"; the pair is an approximation idiom
രണ്ട് മൂന്ന് ദിവസം	"two or three days"; the pair is an approximation idiom
എല്ലാം ഒന്ന്	pronoun reading "all is one", not the numeral one
