&	ആൻഡ്
#	ഹാഷ്
@	അറ്റ്
§	വിഭാഗം
™	ട്രേഡ് മാർക്ക്
®	രജിസ്റ്റർ ചെയ്ത ട്രേഡ് മാർക്ക്
©	പകർപ്പവകാശം
_	അണ്ടർസ്കോർ
%	ശതമാനം
*	നക്ഷത്രം
+	പ്ലസ്
/	സ്ലാഷ്
=	സമം
^	കാരറ്റ്
|	വെർട്ടിക്കൽ ബാർ
~	ടിൽഡ്
$	ഡോളർ
£	പൗണ്ട്
€	യൂറോ
₹	രൂപ
₩	വോൻ
¥	യെൻ
°	ഡിഗ്രി
º	ഡിഗ്രി
κ	കാപ്പ
ω	ഒമേഗ
α	ആൽഫ
ν	ന്യൂ
δ	ഡെൽറ്റ
Δ	ഡെൽറ്റ
Α	ആൽഫ
β	ബീറ്റ
Β	ബീറ്റ
χ	കൈ
Χ	കൈ
ε	എപ്സിലോൺ
Ε	എപ്സിലോൺ
φ	ഫൈ
Φ	ഫൈ
γ	ഗാമ
Γ	ഗാമ
η	ഈറ്റ
Η	ഈറ്റ
ι	അയോട്ട
Ι	അയോട്ട
Κ	കാപ്പ
λ	ലാംഡ
Λ	ലാംഡ
μ	മ്യൂ
Μ	മ്യൂ
Ν	ന്യൂ
ο	ഒമിക്രോൺ
Ο	ഒമിക്രോൺ
π	പൈ
Π	പൈ
θ	തീറ്റ
Θ	തീറ്റ
ρ	റോ
Ρ	റോ
σ	സിഗ്മ
Σ	സിഗ്മ
τ	ടൗ
Τ	ടൗ
υ	അപ്സിലോൺ
Υ	അപ്സിലോൺ
Ω	ഒമേഗ
ξ	സൈ
Ξ	സൈ
ψ	പ്സൈ
Ψ	പ്സൈ
ζ	സീറ്റ
Ζ	സീറ്റ
±	പ്ലസ് മൈനസ്
∓	മൈനസ് പ്ലസ്
√	വർഗമൂലം
∛	ഘനമൂലം
∜	നാലാം മൂലം
∞	അനന്തം
≠	സമമല്ല
≈	ഏകദേശം സമം
≤	കുറവോ സമമോ
≥	കൂടുതലോ സമമോ
≡	സർവസമം
≢	സർവസമമല്ല
≅	ഏകദേശം സമം
∼	സമാനം
≃	ഏകദേശം സമം
≪	വളരെ കുറവ്
≫	വളരെ കൂടുതൽ
∑	തുക
∏	ഗുണനഫലം
∫	സമാകലനം
∬	ദ്വിസമാകലനം
∭	ത്രിസമാകലനം
∮	രേഖാ സമാകലനം
∈	അംഗം
∉	അംഗമല്ല
∋	ഉൾക്കൊള്ളുന്നു
∌	ഉൾക്കൊള്ളുന്നില്ല
∪	സംയോഗം
∩	സംഗമം
∖	ഗണവ്യത്യാസം
⊆	ഉപഗണം
⊂	ശുദ്ധ ഉപഗണം
⊇	അധിഗണം
⊃	ശുദ്ധ അധിഗണം
⊈	ഉപഗണമല്ല
⊉	അധിഗണമല്ല
∅	ശൂന്യഗണം
∀	എല്ലാവർക്കും
∃	നിലനിൽക്കുന്നു
∄	നിലനിൽക്കുന്നില്ല
¬	അല്ല
∧	ആൻഡ്
∨	ഓർ
⊕	നേർ തുക
⊗	നേർ ഗുണനഫലം
⊥	ലംബം
∥	സമാന്തരം
∠	കോൺ
∟	മട്ടകോൺ
∂	ആംശിക അവകലനം
∇	നാബ്ല
∝	അനുപാതികം
∴	അതിനാൽ
∵	എന്തുകൊണ്ടെന്നാൽ
∶	അനുപാതം
ℝ	വാസ്തവിക സംഖ്യകൾ
ℂ	സങ്കീർണ സംഖ്യകൾ
ℕ	എണ്ണൽ സംഖ്യകൾ
ℤ	പൂർണസംഖ്യകൾ
ℚ	ഭിന്നക സംഖ്യകൾ
⟹	സൂചിപ്പിക്കുന്നു
⟸	പിന്നോട്ട് സൂചിപ്പിക്കുന്നു
⟺	ദ്വിദിശാ സൂചിക
⟷	തുല്യാർത്ഥം
→	വലത് അമ്പ്
←	ഇടത് അമ്പ്
↔	ഇരുവശ അമ്പ്
↑	മേൽ അമ്പ്
↓	കീഴ് അമ്പ്
×	ഗുണം
÷	ഹരണം
