°C	డిగ్రీ సెల్సియస్	డిగ్రీల సెల్సియస్
°F	డిగ్రీ ఫారెన్‌హీట్	డిగ్రీల ఫారెన్‌హీట్
°	డిగ్రీ	డిగ్రీలు
K	కెల్విన్	కెల్విన్
g	గ్రామ్	గ్రాములు
kg	కిలోగ్రామ్	కిలోగ్రాములు
mg	మిల్లీగ్రామ్	మిల్లీగ్రాములు
cg	సెంటీగ్రామ్	సెంటీగ్రాములు
lb	పౌండ్	పౌండ్లు
oz	ఔన్స్	ఔన్సులు
t	టన్ను	టన్నులు
q	క్వింటాల్	క్వింటాళ్లు
m	మీటర్	మీటర్లు
cm	సెంటీమీటర్	సెంటీమీటర్లు
mm	మిల్లీమీటర్	మిల్లీమీటర్లు
km	కిలోమీటర్	కిలోమీటర్లు
nm	నానోమీటర్	నానోమీటర్లు
µm	మైక్రోమీటర్	మైక్రోమీటర్లు
mi	మైలు	మైళ్లు
ft	అడుగు	అడుగులు
in	అంగుళం	అంగుళాలు
yd	గజం	గజాలు
m²	చదరపు మీటర్	చదరపు మీటర్లు
cm²	చదరపు సెంటీమీటర్	చదరపు సెంటీమీటర్లు
mm²	చదరపు మిల్లీమీటర్	చదరపు మిల్లీమీటర్లు
km²	చదరపు కిలోమీటర్	చదరపు కిలోమీటర్లు
ft²	చదరపు అడుగు	చదరపు అడుగులు
yd²	చదరపు గజం	చదరపు గజాలు
mi²	చదరపు మైలు	చదరపు మైళ్లు
in²	చదరపు అంగుళం	చదరపు అంగుళాలు
m2	చదరపు మీటర్	చదరపు మీటర్లు
cm2	చదరపు సెంటీమీటర్	చదరపు సెంటీమీటర్లు
km2	చదరపు కిలోమీటర్	చదరపు కిలోమీటర్లు
ft2	చదరపు అడుగు	చదరపు అడుగులు
sqft	చదరపు అడుగు	చదరపు అడుగులు
ha	హెక్టార్	హెక్టార్లు
ac	ఎకరం	ఎకరాలు
m³	ఘనపు మీటర్	ఘనపు మీటర్లు
cm³	ఘనపు సెంటీమీటర్	ఘనపు సెంటీమీటర్లు
ft³	ఘనపు అడుగు	ఘనపు అడుగులు
l	లీటర్	లీటర్లు
L	లీటర్	లీటర్లు
kl	కిలోలీటర్	కిలోలీటర్లు
ml	మిల్లీలీటర్	మిల్లీలీటర్లు
mL	మిల్లీలీటర్	మిల్లీలీటర్లు
dl	డెసీలీటర్	డెసీలీటర్లు
cl	సెంటీలీటర్	సెంటీలీటర్లు
gal	గ్యాలన్	గ్యాలన్లు
W	వాట్	వాట్లు
kW	కిలోవాట్	కిలోవాట్లు
KW	కిలోవాట్	కిలోవాట్లు
MW	మెగావాట్	మెగావాట్లు
kWh	కిలోవాట్ గంట	కిలోవాట్ గంటలు
V	వోల్ట్	వోల్టులు
A	ఆంపియర్	ఆంపియర్లు
J	జౌల్	జౌల్లు
kJ	కిలోజౌల్	కిలోజౌల్లు
Pa	పాస్కల్	పాస్కల్లు
N	న్యూటన్	న్యూటన్లు
Hz	హెర్ట్జ్	హెర్ట్జ్
kHz	కిలోహెర్ట్జ్	కిలోహెర్ట్జ్
KHz	కిలోహెర్ట్జ్	కిలోహెర్ట్జ్
MHz	మెగాహెర్ట్జ్	మెగాహెర్ట్జ్
GHz	గిగాహెర్ట్జ్	గిగాహెర్ట్జ్
Ω	ఓమ్	ఓమ్లు
dB	డెసిబెల్	డెసిబెల్లు
b	బిట్	బిట్లు
Mb	మెగాబిట్	మెగాబిట్లు
B	బైట్	బైట్లు
KB	కిలోబైట్	కిలోబైట్లు
MB	మెగాబైట్	మెగాబైట్లు
GB	గిగాబైట్	గిగాబైట్లు
TB	టెరాబైట్	టెరాబైట్లు
PB	పెటాబైట్	పెటాబైట్లు
s	సెకను	సెకన్లు
sec	సెకను	సెకన్లు
ms	మిల్లీసెకను	మిల్లీసెకన్లు
min	నిమిషం	నిమిషాలు
h	గంట	గంటలు
hr	గంట	గంటలు
hrs	గంట	గంటలు
d	రోజు	రోజులు
yr	సంవత్సరం	సంవత్సరాలు
yrs	సంవత్సరం	సంవత్సరాలు
month	నెల	నెలలు
months	నెల	నెలలు
doz	డజను	డజన్లు
ct	క్యారెట్	క్యారెట్లు
pH	పిహెచ్	పిహెచ్
km/h	కిలోమీటర్ గంటకు	కిలోమీటర్లు గంటకు
km/hr	కిలోమీటర్ గంటకు	కిలోమీటర్లు గంటకు
kmph	కిలోమీటర్ గంటకు	కిలోమీటర్లు గంటకు
m/s	మీటర్ సెకనుకు	మీటర్లు సెకనుకు
mi/h	మైలు గంటకు	మైళ్లు గంటకు
mph	మైలు గంటకు	మైళ్లు గంటకు
x	రెట్లు	రెట్లు
X	రెట్లు	రెట్లు
*	రెట్లు	రెట్లు
%	శాతం	శాతం
కి.మీ.	కిలోమీటర్	కిలోమీటర్లు
