మంది	people (counted persons)
రోజు	day
రోజులు	days
సారి	time (occurrence)
సార్లు	times (occurrences)
గంట	hour
గంటలు	hours
నిమిషం	minute
నిమిషాలు	minutes
సెకను	second
సెకన్లు	seconds
నెల	month
నెలలు	months
వారం	week
వారాలు	weeks
సంవత్సరం	year
సంవత్సరాలు	years
ఏడాది	year
ఏళ్లు	years
ఏళ్ళు	years (alternate spelling)
కిలో	kilo (prose word; the unit table keeps only abbreviations)
కిలోలు	kilos
లీటరు	litre (prose word)
లీటర్లు	litres
కప్పు	cup
కప్పులు	cups
స్పూను	spoon
స్పూన్లు	spoons
గ్లాసు	glass
గ్లాసులు	glasses
పేజీ	page
పేజీలు	pages
పుస్తకం	book
పుస్తకాలు	books
ముక్క	piece
ముక్కలు	pieces
జత	pair
జతలు	pairs
డజను	dozen
డజన్లు	dozens
మార్కులు	marks
ఓట్లు	votes
స్థానాలు	seats or places
సీట్లు	seats
కేసులు	cases
మ్యాచ్‌లు	matches
మ్యాచులు	matches (alternate spelling)
పరుగులు	runs
వికెట్లు	wickets
