వందలు	వందలు	native
వందల	వందల	native
వెయ్యి	వెయ్యి	native
వేలు	వేలు	native
వేల	వేల	native
లక్ష	లక్ష	native
లక్షం	లక్షం	native
లక్షలు	లక్షలు	native
లక్షల	లక్షల	native
కోటి	కోటి	native
కోట్లు	కోట్లు	native
కోట్ల	కోట్ల	native
మిలియన్	మిలియన్	native
మిలియన్లు	మిలియన్లు	native
బిలియన్	బిలియన్	native
బిలియన్లు	బిలియన్లు	native
ట్రిలియన్	ట్రిలియన్	native
ట్రిలియన్లు	ట్రిలియన్లు	native
thousand	వేలు	english
lakh	లక్షలు	english
lakhs	లక్షలు	english
crore	కోట్లు	english
crores	కోట్లు	english
million	మిలియన్	english
billion	బిలియన్	english
trillion	ట్రిలియన్	english
L	లక్షలు	short
cr	కోట్లు	short
Cr	కోట్లు	short
CR	కోట్లు	short
K	వేలు	short
k	వేలు	short
M	మిలియన్	short
B	బిలియన్	short
